Order Date,Forecasted Sales,Type,yhat_lower,yhat_upper,Lower Bound,Upper Bound
2015-01-03,16.448,Historical,,,0.0,0.0
2015-01-04,288.06,Historical,,,0.0,0.0
2015-01-05,19.536,Historical,,,0.0,0.0
2015-01-06,4407.1,Historical,,,0.0,0.0
2015-01-07,87.15799999999999,Historical,,,0.0,0.0
2015-01-09,40.544,Historical,,,0.0,0.0
2015-01-10,54.83,Historical,,,0.0,0.0
2015-01-11,9.94,Historical,,,0.0,0.0
2015-01-13,3553.795,Historical,,,0.0,0.0
2015-01-14,61.96,Historical,,,0.0,0.0
2015-01-15,149.95,Historical,,,0.0,0.0
2015-01-16,299.964,Historical,,,0.0,0.0
2015-01-18,64.864,Historical,,,0.0,0.0
2015-01-19,378.594,Historical,,,0.0,0.0
2015-01-20,2673.87,Historical,,,0.0,0.0
2015-01-23,40.08,Historical,,,0.0,0.0
2015-01-26,1097.25,Historical,,,0.0,0.0
2015-01-27,426.67,Historical,,,0.0,0.0
2015-01-28,3.928,Historical,,,0.0,0.0
2015-01-30,240.5,Historical,,,0.0,0.0
2015-01-31,290.666,Historical,,,0.0,0.0
2015-02-01,468.9,Historical,,,0.0,0.0
2015-02-02,211.646,Historical,,,0.0,0.0
2015-02-03,97.112,Historical,,,0.0,0.0
2015-02-04,134.384,Historical,,,0.0,0.0
2015-02-06,330.512,Historical,,,0.0,0.0
2015-02-07,180.32,Historical,,,0.0,0.0
2015-02-08,14.56,Historical,,,0.0,0.0
2015-02-11,2043.4,Historical,,,0.0,0.0
2015-02-12,129.568,Historical,,,0.0,0.0
2015-02-14,576.726,Historical,,,0.0,0.0
2015-02-15,21.36,Historical,,,0.0,0.0
2015-02-16,9.04,Historical,,,0.0,0.0
2015-02-17,54.208,Historical,,,0.0,0.0
2015-02-18,37.784,Historical,,,0.0,0.0
2015-02-20,95.59,Historical,,,0.0,0.0
2015-02-21,8.85,Historical,,,0.0,0.0
2015-02-22,19.44,Historical,,,0.0,0.0
2015-02-23,11.364,Historical,,,0.0,0.0
2015-02-24,55.672,Historical,,,0.0,0.0
2015-02-27,19.456,Historical,,,0.0,0.0
2015-03-01,2203.151,Historical,,,0.0,0.0
2015-03-02,47.76,Historical,,,0.0,0.0
2015-03-03,1345.8919999999998,Historical,,,0.0,0.0
2015-03-04,370.452,Historical,,,0.0,0.0
2015-03-05,705.562,Historical,,,0.0,0.0
2015-03-07,1561.062,Historical,,,0.0,0.0
2015-03-10,741.956,Historical,,,0.0,0.0
2015-03-11,918.314,Historical,,,0.0,0.0
2015-03-14,2108.55,Historical,,,0.0,0.0
2015-03-15,370.782,Historical,,,0.0,0.0
2015-03-16,471.92,Historical,,,0.0,0.0
2015-03-17,3960.358,Historical,,,0.0,0.0
2015-03-18,28106.716,Historical,,,0.0,0.0
2015-03-19,590.762,Historical,,,0.0,0.0
2015-03-21,4109.816,Historical,,,0.0,0.0
2015-03-22,464.093,Historical,,,0.0,0.0
2015-03-23,945.064,Historical,,,0.0,0.0
2015-03-24,65.38,Historical,,,0.0,0.0
2015-03-25,459.146,Historical,,,0.0,0.0
2015-03-26,145.13,Historical,,,0.0,0.0
2015-03-28,1493.216,Historical,,,0.0,0.0
2015-03-29,890.841,Historical,,,0.0,0.0
2015-03-30,1170.322,Historical,,,0.0,0.0
2015-03-31,1959.552,Historical,,,0.0,0.0
2015-04-01,119.888,Historical,,,0.0,0.0
2015-04-02,1458.558,Historical,,,0.0,0.0
2015-04-04,475.844,Historical,,,0.0,0.0
2015-04-05,5179.738,Historical,,,0.0,0.0
2015-04-06,1650.69,Historical,,,0.0,0.0
2015-04-07,1021.17,Historical,,,0.0,0.0
2015-04-08,1958.75,Historical,,,0.0,0.0
2015-04-11,1915.24,Historical,,,0.0,0.0
2015-04-12,1872.443,Historical,,,0.0,0.0
2015-04-13,638.576,Historical,,,0.0,0.0
2015-04-15,294.72,Historical,,,0.0,0.0
2015-04-16,39.072,Historical,,,0.0,0.0
2015-04-18,1020.532,Historical,,,0.0,0.0
2015-04-19,205.47,Historical,,,0.0,0.0
2015-04-20,1250.45,Historical,,,0.0,0.0
2015-04-21,845.36,Historical,,,0.0,0.0
2015-04-22,257.752,Historical,,,0.0,0.0
2015-04-23,643.98,Historical,,,0.0,0.0
2015-04-25,2379.994,Historical,,,0.0,0.0
2015-04-26,282.568,Historical,,,0.0,0.0
2015-04-28,2578.476,Historical,,,0.0,0.0
2015-04-29,768.8439999999999,Historical,,,0.0,0.0
2015-04-30,1048.74,Historical,,,0.0,0.0
2015-05-02,506.12,Historical,,,0.0,0.0
2015-05-03,72.632,Historical,,,0.0,0.0
2015-05-04,187.432,Historical,,,0.0,0.0
2015-05-05,260.977,Historical,,,0.0,0.0
2015-05-06,254.456,Historical,,,0.0,0.0
2015-05-07,1091.35,Historical,,,0.0,0.0
2015-05-08,1799.97,Historical,,,0.0,0.0
2015-05-09,394.48,Historical,,,0.0,0.0
2015-05-10,2343.799,Historical,,,0.0,0.0
2015-05-11,1642.802,Historical,,,0.0,0.0
2015-05-12,734.846,Historical,,,0.0,0.0
2015-05-13,898.382,Historical,,,0.0,0.0
2015-05-14,310.88,Historical,,,0.0,0.0
2015-05-16,289.28,Historical,,,0.0,0.0
2015-05-17,91.68,Historical,,,0.0,0.0
2015-05-18,944.964,Historical,,,0.0,0.0
2015-05-19,91.62,Historical,,,0.0,0.0
2015-05-20,320.10400000000004,Historical,,,0.0,0.0
2015-05-21,4264.328,Historical,,,0.0,0.0
2015-05-22,180.93,Historical,,,0.0,0.0
2015-05-23,323.75800000000004,Historical,,,0.0,0.0
2015-05-24,116.28,Historical,,,0.0,0.0
2015-05-25,119.54,Historical,,,0.0,0.0
2015-05-26,1325.718,Historical,,,0.0,0.0
2015-05-27,2157.394,Historical,,,0.0,0.0
2015-05-28,221.968,Historical,,,0.0,0.0
2015-05-30,1924.913,Historical,,,0.0,0.0
2015-05-31,773.7,Historical,,,0.0,0.0
2015-06-01,5188.52,Historical,,,0.0,0.0
2015-06-02,738.598,Historical,,,0.0,0.0
2015-06-03,531.16,Historical,,,0.0,0.0
2015-06-04,456.272,Historical,,,0.0,0.0
2015-06-06,1374.0010000000002,Historical,,,0.0,0.0
2015-06-07,281.397,Historical,,,0.0,0.0
2015-06-08,2501.264,Historical,,,0.0,0.0
2015-06-09,5463.008,Historical,,,0.0,0.0
2015-06-10,491.55,Historical,,,0.0,0.0
2015-06-13,14.52,Historical,,,0.0,0.0
2015-06-14,212.94,Historical,,,0.0,0.0
2015-06-15,942.974,Historical,,,0.0,0.0
2015-06-16,763.792,Historical,,,0.0,0.0
2015-06-17,3356.4860000000003,Historical,,,0.0,0.0
2015-06-18,139.8,Historical,,,0.0,0.0
2015-06-20,1828.9496,Historical,,,0.0,0.0
2015-06-21,4107.443,Historical,,,0.0,0.0
2015-06-22,1975.498,Historical,,,0.0,0.0
2015-06-23,109.496,Historical,,,0.0,0.0
2015-06-24,4.272,Historical,,,0.0,0.0
2015-06-25,792.76,Historical,,,0.0,0.0
2015-06-27,616.14,Historical,,,0.0,0.0
2015-06-28,1645.791,Historical,,,0.0,0.0
2015-06-29,46.68,Historical,,,0.0,0.0
2015-06-30,739.624,Historical,,,0.0,0.0
2015-07-01,601.0239999999999,Historical,,,0.0,0.0
2015-07-02,79.56,Historical,,,0.0,0.0
2015-07-04,247.408,Historical,,,0.0,0.0
2015-07-05,1444.104,Historical,,,0.0,0.0
2015-07-06,1038.472,Historical,,,0.0,0.0
2015-07-07,241.194,Historical,,,0.0,0.0
2015-07-08,763.0740000000001,Historical,,,0.0,0.0
2015-07-09,265.521,Historical,,,0.0,0.0
2015-07-11,2022.356,Historical,,,0.0,0.0
2015-07-12,1960.012,Historical,,,0.0,0.0
2015-07-13,351.216,Historical,,,0.0,0.0
2015-07-14,292.594,Historical,,,0.0,0.0
2015-07-15,9.51,Historical,,,0.0,0.0
2015-07-18,273.04,Historical,,,0.0,0.0
2015-07-19,461.326,Historical,,,0.0,0.0
2015-07-20,2285.786,Historical,,,0.0,0.0
2015-07-21,1961.482,Historical,,,0.0,0.0
2015-07-22,1348.344,Historical,,,0.0,0.0
2015-07-23,2613.184,Historical,,,0.0,0.0
2015-07-25,8341.289999999999,Historical,,,0.0,0.0
2015-07-26,5039.994,Historical,,,0.0,0.0
2015-07-27,580.06,Historical,,,0.0,0.0
2015-07-28,193.152,Historical,,,0.0,0.0
2015-07-30,1367.84,Historical,,,0.0,0.0
2015-08-01,228.328,Historical,,,0.0,0.0
2015-08-02,886.28,Historical,,,0.0,0.0
2015-08-03,477.994,Historical,,,0.0,0.0
2015-08-04,2743.154,Historical,,,0.0,0.0
2015-08-05,2408.724,Historical,,,0.0,0.0
2015-08-06,262.89,Historical,,,0.0,0.0
2015-08-08,3955.629,Historical,,,0.0,0.0
2015-08-09,3605.685,Historical,,,0.0,0.0
2015-08-11,451.62,Historical,,,0.0,0.0
2015-08-12,1545.73,Historical,,,0.0,0.0
2015-08-15,337.5,Historical,,,0.0,0.0
2015-08-16,853.092,Historical,,,0.0,0.0
2015-08-17,500.342,Historical,,,0.0,0.0
2015-08-19,1439.106,Historical,,,0.0,0.0
2015-08-20,1838.722,Historical,,,0.0,0.0
2015-08-22,23.104,Historical,,,0.0,0.0
2015-08-23,565.224,Historical,,,0.0,0.0
2015-08-24,59.74,Historical,,,0.0,0.0
2015-08-25,1451.65,Historical,,,0.0,0.0
2015-08-26,366.81,Historical,,,0.0,0.0
2015-08-27,2070.13,Historical,,,0.0,0.0
2015-08-29,832.3225,Historical,,,0.0,0.0
2015-08-30,121.24,Historical,,,0.0,0.0
2015-08-31,92.52,Historical,,,0.0,0.0
2015-09-01,469.436,Historical,,,0.0,0.0
2015-09-02,3254.15,Historical,,,0.0,0.0
2015-09-03,22.08,Historical,,,0.0,0.0
2015-09-05,296.304,Historical,,,0.0,0.0
2015-09-06,100.36,Historical,,,0.0,0.0
2015-09-07,3523.875,Historical,,,0.0,0.0
2015-09-08,14228.428,Historical,,,0.0,0.0
2015-09-09,4043.588,Historical,,,0.0,0.0
2015-09-10,1855.228,Historical,,,0.0,0.0
2015-09-11,127.95,Historical,,,0.0,0.0
2015-09-12,4904.66,Historical,,,0.0,0.0
2015-09-13,1275.408,Historical,,,0.0,0.0
2015-09-14,5023.716,Historical,,,0.0,0.0
2015-09-15,133.436,Historical,,,0.0,0.0
2015-09-16,33.552,Historical,,,0.0,0.0
2015-09-17,820.523,Historical,,,0.0,0.0
2015-09-19,9338.637,Historical,,,0.0,0.0
2015-09-20,5335.968000000001,Historical,,,0.0,0.0
2015-09-21,2679.652,Historical,,,0.0,0.0
2015-09-22,1240.266,Historical,,,0.0,0.0
2015-09-23,10662.337,Historical,,,0.0,0.0
2015-09-24,211.96,Historical,,,0.0,0.0
2015-09-25,354.88880000000006,Historical,,,0.0,0.0
2015-09-26,1326.79,Historical,,,0.0,0.0
2015-09-27,773.4399999999999,Historical,,,0.0,0.0
2015-09-28,490.292,Historical,,,0.0,0.0
2015-09-29,8109.07,Historical,,,0.0,0.0
2015-09-30,987.532,Historical,,,0.0,0.0
2015-10-01,4.71,Historical,,,0.0,0.0
2015-10-02,598.144,Historical,,,0.0,0.0
2015-10-03,862.683,Historical,,,0.0,0.0
2015-10-04,728.7479999999999,Historical,,,0.0,0.0
2015-10-05,191.9,Historical,,,0.0,0.0
2015-10-06,494.71,Historical,,,0.0,0.0
2015-10-07,237.36,Historical,,,0.0,0.0
2015-10-08,147.392,Historical,,,0.0,0.0
2015-10-09,249.36,Historical,,,0.0,0.0
2015-10-10,2049.386,Historical,,,0.0,0.0
2015-10-11,1381.164,Historical,,,0.0,0.0
2015-10-12,58.53,Historical,,,0.0,0.0
2015-10-13,2212.182,Historical,,,0.0,0.0
2015-10-14,4525.484,Historical,,,0.0,0.0
2015-10-15,206.724,Historical,,,0.0,0.0
2015-10-16,194.322,Historical,,,0.0,0.0
2015-10-17,136.068,Historical,,,0.0,0.0
2015-10-18,3134.916,Historical,,,0.0,0.0
2015-10-19,641.104,Historical,,,0.0,0.0
2015-10-20,1501.104,Historical,,,0.0,0.0
2015-10-21,1356.602,Historical,,,0.0,0.0
2015-10-22,223.808,Historical,,,0.0,0.0
2015-10-24,56.49,Historical,,,0.0,0.0
2015-10-25,103.882,Historical,,,0.0,0.0
2015-10-26,447.88,Historical,,,0.0,0.0
2015-10-27,22.32,Historical,,,0.0,0.0
2015-10-28,1510.582,Historical,,,0.0,0.0
2015-10-29,2813.8120000000004,Historical,,,0.0,0.0
2015-10-31,5362.026,Historical,,,0.0,0.0
2015-11-01,4637.816,Historical,,,0.0,0.0
2015-11-02,2126.37,Historical,,,0.0,0.0
2015-11-03,2784.163,Historical,,,0.0,0.0
2015-11-04,6693.7480000000005,Historical,,,0.0,0.0
